nombre ingrediente,sinonimos
Arvejas,Guisante congelado;Guisante sin cáscara;Guisante enlatado
Limon,Lima
Nueces,Avellana;Avellana cruda o tostada;Avellana molida
Arándano,Baya congelada;Fruto rojo congelado;Baya
Porotos,Frijole rojo;Frijole
Sal,Sal y pimienta;Al y pimienta;Sal gruesa o marina;Sal o pimienta;Sal y pimienta;Pimienta entera y molida;Sal rosada;sal gruesa
Ají,Pimentón picante
Aceite de oliva,AOVE;Ceite
Semillas de chía,Semilla varia;Varia semilla chia;Semilla de chía
Pimiento rojo,Mini pimiento morrón;Mini pimiento
Semillas de girasol,Semilla de girasol
Ají en polvo,Hojuela de chile;Pimentón molido;Chile chipotle en polvo;Chile rojo picado;Chile rojo en polvo;Chile rojo fresco;Hojuela de chile rojo
Pechuga de pollo,Cuarto trasero de pollo
Porotos verdes,Judía verde fresca
Salami,Salami rebanado;Salami;pepperoni en rodaja
Pimienta negra,Pimienta recién molida
Ají verde,chile serrano fresco
Camarón,Gamba;Gamba precocida;Gamba pelada;langostino gigante
Semillas de anís,semilla de hinojo;hinojo;semilla de hinojo triturada
Zapallo italiano,calabacine cortado;espagueti de calabacín;calabacine en espiral
Vienesa,salchicha molida
Salvia deshidratada,salvia fresca
Repollo,Col rizada;cole de Brusela;col blanca fresca;chukrut escurrido
Salsa de soya,salsa de soja tamari
Pimiento amarillo,pimienta amarilla
Anacardos,anacardo
Jamón,mortadela
Frutilla,fresa congelada;fresa fresca;fresa roja
Choros,mejillone;mejillone ahumado
Puré de zapallo,puré de calabaza sin azúcar
Pollo entero,Pollo a la parrilla;Pollo deshuesado
Caldo de ave,cubo de caldo de pollo
Caldo de carne,caldo de res;cubito de caldo de res
Ralladura de limón,hoja de lima
Salsa de ají,pasta de chile
Cilantro,ilantro fresco
Eneldo,neldo fresco
Rábano,nabo
Clavo de olor,clavo entero
Azúcar,azúcar granulada;azúcar blanca
Azúcar flor,azúcar gla